Years','Stahle et al. (1998)','Mann et al. (2000)','Li et al. (2011) NADA PC1','Li et al. (2013) Tree-rings PC1','Freund et al. (2019) NCT DJF','Freund et al. (2019) NWP DJF','Freund et al. (2019) Nino4 DJF','Freund et al. (2019) Nino3 DJF','Stahle et al. (1993)','Cook et al. (2008) Nino12','Cook et al. (2008) Nino3 ','Cook et al. (2008) Nino34 ','Cook et al. (2008) Nino4','Geay et al. (2013) Nino3','McGregor et al. (2010) ','Tierney et al. (2015) East','Tierney et al. (2015) West','Braganza et al. (2009) Multiproxy R5','Braganza et al. (2009) Multiproxy R8','DArrigo et al. (2005) Nino3','Wilson et al. (2010) Nino34 COACPR','Wilson et al. (2010) Nino34 COAPCR','Wilson et al. (2010) Nino34 TelecPCR TEL','Wilson et al. (2010) Nino34 TelecREGEM TEL','Wilson et al. 2010 Nino34 zscoreCOA','Wilson et al. (2010) Nino34 zscoreTEL','Datwyler et al. (2020) ENSO DJF','Datwyler et al. (2019) FullPeriod PC1','Torbenson et al. (2019) eMEIall','Torbenson et al. (2019) eMEIstable','Zhu et al. (2022) Corals Li13b6','Zhu et al. (2022) Corals','Zhu et al. (2022) Li13b6.','Zhu et al. (2022) Ocn2kCorals Li13b6','Liu et al. (2024) PCR','Liu et al. (2024) DD','Falster et al.(2023)','ERSST Nino34','HadISST Nino34','ISOI','ICPC SOI'
1636,NaN,NaN,0.223,0.71905,-0.68109,-1.335,-1.2039,-0.82944,NaN,0.52406,0.32097,0.31797,0.37741,0.14047,NaN,-0.84102,1.1008,0.42978,NaN,0.82593,0.16761,0.14571,-1.052,-0.45373,0.18404,-0.94116,0.91127,0.31774,NaN,NaN,-1.031,-0.91843,-0.80615,-0.96798,-0.4339,-0.67356,-0.69488,NaN,NaN,NaN,NaN
1637,NaN,NaN,-1.019,-0.57429,0.00054861,-0.0053179,-0.0053233,0.011267,NaN,-0.83895,-0.81462,-0.79002,-0.8723,-1.1028,NaN,-0.058388,1.1616,-0.79509,NaN,-1.0986,-1.2975,-1.5269,-0.40788,-0.37335,-1.345,-0.44407,-0.46032,-0.4831,NaN,NaN,-0.42982,0.46023,-0.70096,-0.39987,-1.9319,-1.6437,0.068983,NaN,NaN,NaN,NaN
1638,NaN,NaN,-0.998,0.19443,1.3352,2.5165,2.2207,1.6446,NaN,0.12638,0.34382,0.44855,0.51175,0.43897,NaN,0.35998,1.0817,-0.22727,NaN,-0.65404,-1.5229,-1.7843,-0.61924,-1.5699,-1.7524,-1.0126,0.56538,0.97084,NaN,NaN,0.77256,2.2985,0.035375,0.73636,-0.25591,-1.4053,0.43348,NaN,NaN,NaN,NaN
1639,NaN,NaN,0.573,-0.064021,0.94019,1.2392,1.2275,1.0682,NaN,1.5999,1.6111,1.5667,1.4592,1.1359,NaN,0.16102,0.38502,1.1679,NaN,1.5361,-1.3575,-1.5956,0.85419,0.98333,-1.397,0.94516,1.0494,0.1536,NaN,NaN,0.27157,0.91979,-0.17501,0.26293,1.3932,0.094797,0.34535,NaN,NaN,NaN,NaN
1640,NaN,NaN,0.995,0.38771,-0.9168,-1.5184,-1.4437,-1.0696,NaN,1.1775,1.1287,1.1547,1.2665,0.10623,NaN,-1.2751,0.77873,0.29188,NaN,1.5237,0.021078,-0.021574,-1.8161,-1.7397,0.01459,-1.9431,1.426,1.5829,NaN,NaN,-0.32962,-1.378,0.24576,-0.30518,0.52981,-0.75495,0.17729,NaN,NaN,NaN,NaN
1641,NaN,NaN,-0.189,-0.78414,-0.41035,-1.2892,-1.0327,-0.58924,NaN,0.62306,0.68248,0.74647,0.73801,-0.6948,NaN,-0.68751,1.964,-0.39761,NaN,0.511,-0.86159,-1.0294,-0.78299,-1.9135,-0.92201,-1.2508,-0.82715,0.30341,NaN,NaN,-0.32962,-0.61206,-0.17501,-0.30518,-0.27883,-1.8222,-0.41943,NaN,NaN,NaN,NaN
1642,NaN,NaN,0.542,-0.26724,0.50382,0.79382,0.7481,0.61177,NaN,1.2765,1.2832,1.3613,1.3885,0.051463,NaN,-0.38683,1.4007,-0.3895,NaN,0.69831,-0.084024,-0.14161,-0.29871,-0.18185,-0.092722,-0.29816,0.086763,1.99,NaN,NaN,-0.029025,0.61342,-0.2802,-0.021123,-0.85487,-2.7369,-0.72434,NaN,NaN,NaN,NaN
1643,NaN,NaN,0.073997,-0.40972,0.66626,1.403,1.1933,0.85197,NaN,-0.17395,-0.11176,-0.11432,-0.20237,0.30752,NaN,1.0812,0.73402,-0.86809,NaN,0.38132,0.29915,0.29588,-1.0013,-2.2081,0.1953,-1.5119,-0.64711,-0.54299,NaN,NaN,0.47197,1.3793,-0.069816,0.45231,-0.16494,-1.268,-0.36056,NaN,NaN,NaN,NaN
1644,NaN,NaN,0.167,-0.41856,-0.50909,-0.7324,-0.7245,-0.56522,NaN,-0.20695,-0.13192,-0.14348,-0.28191,-0.73724,NaN,-0.10825,0.84444,-1.0952,NaN,0.61392,-0.49352,-0.60898,0.90877,1.0277,-0.56332,1.0004,-0.55992,-0.99571,NaN,NaN,-0.53002,-0.45887,-0.49058,-0.49455,-0.76998,-2.2019,0.66101,NaN,NaN,NaN,NaN
1645,NaN,NaN,-1.775,-0.55441,0.18211,-0.14942,-0.0053233,0.15539,NaN,-1.0733,-1.031,-1.0803,-1.1657,-0.5031,NaN,-0.23408,1.2779,-0.68152,NaN,-1.0019,-0.92943,-1.1065,0.41754,0.19293,-0.98896,0.35336,-1.1457,0.15964,NaN,NaN,-0.73042,-0.30569,-0.80615,-0.68392,0.42974,-1.307,1.5383,NaN,NaN,NaN,NaN
